Condition,Session,Life,Chimp,SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO,Session,SocialPlayCOMC,GroomCOMC,OtherAffCOMC,AggressionCOMC,NonIntCOMC,AbnormalCOMC,TravelCOMC,InactiveCOMC
CB,1524,MOM,Magic,0,0,0,0,462,0,0,134,1530,0,139,103,0,85,0,88,136
CB,1525,PET,Susie,0,0,0,6,571,0,20,0,1531,0,0,243,0,0,0,193,129
CB,1592,NURSE,Selina,0,0,0,0,0,0,0,597,1597,0,0,0,0,14,0,13,569
CB,1649,NURSE,Mocha,0,0,0,0,0,0,26,572,1655,0,0,214,0,246,0,52,81
CB,1650,EARLY,Shauri,0,0,0,23,412,0,0,162,1656,0,19,234,0,0,0,35,312
CB,1661,NURSE,Selina,0,0,0,0,0,0,0,594,1667,0,0,0,0,241,0,63,294
CB,1662,LATE,Mouse,0,0,0,0,0,0,0,597,1668,0,0,0,0,227,45,0,300
CB,1672,MOM,Magic,0,0,0,0,314,0,19,148,1691,0,0,0,0,0,510,41,48
CB,1674,EARLY,Shauri,0,497,0,0,0,0,0,98,1693,0,0,0,0,508,0,76,7
CB,1710,EARLY,Shauri,0,0,0,0,227,0,0,370,1716,0,593,0,0,0,0,0,0
CB,1721,NURSE,Selina,0,0,10,0,552,0,7,25,1727,0,0,0,0,4,0,39,529
CB,1722,MOM,Magic,0,108,0,0,0,450,7,33,1728,0,0,0,0,316,0,20,262
CB,1733,NURSE,Mocha,0,0,0,0,281,0,20,48,1740,28,0,0,0,4,46,32,487
CB,1734,LATE,Maude,0,0,11,5,564,0,0,18,1741,0,0,137,0,57,0,118,285
CB,1746,EARLY,Mystery,0,0,0,0,163,0,0,436,1752,0,0,0,0,352,206,0,40
CB,1759,PET,Susie,0,0,55,13,41,0,122,366,1765,0,0,41,6,385,0,143,22
CB,1760,EARLY,Mystery,0,0,2,0,471,0,85,15,1766,0,0,0,14,114,0,143,305
CB,1772,PET,Jacob,0,0,8,41,524,0,7,15,1778,0,0,8,21,206,0,93,268
CB,1782,LATE,Maude,0,0,34,9,451,0,51,52,1788,0,9,25,21,205,0,88,249
CB,1795,LATE,Mouse,0,0,27,0,174,22,24,345,1801,0,0,0,0,402,0,28,165
CB,1796,PET,Jacob,0,0,0,0,76,0,4,515,1802,0,0,0,0,345,0,153,97
HB,1523,EARLY,Shauri,0,0,7,0,365,0,28,198,1529,0,0,0,0,0,0,0,594
HB,1546,MOM,Magic,0,3,7,0,0,0,185,297,1552,0,214,0,0,0,0,24,333
HB,1547,NURSE,Selina,0,0,0,0,0,0,29,562,1553,0,0,0,0,0,0,37,561
HB,1548,PET,Jacob,0,0,0,42,323,0,32,185,1554,0,0,0,68,0,0,13,519
HB,1648,PET,Susie,0,0,4,0,527,0,62,4,1654,0,0,18,0,0,0,74,504
HB,1660,EARLY,Mystery,0,0,0,0,0,0,13,584,1666,0,0,0,0,13,0,34,552
HB,1673,NURSE,Selina,0,0,39,0,0,0,0,558,1692,0,38,0,0,0,0,19,491
HB,1697,MOM,Magic,0,0,0,0,303,0,52,242,1703,0,0,0,0,396,0,64,136
HB,1698,EARLY,Shauri,0,0,0,0,305,0,15,242,1704,0,0,0,0,260,0,47,287
HB,1709,MOM,Magic,0,0,0,0,164,123,0,306,1715,5,0,122,0,83,9,0,379
HB,1711,NURSE,Selina,0,532,0,0,0,0,0,60,1717,0,0,0,0,0,0,0,598
HB,1723,EARLY,Shauri,0,592,0,0,0,0,0,5,1729,0,0,0,0,246,0,57,294
HB,1735,PET,Susie,0,0,0,0,310,0,219,55,1742,0,0,0,0,500,0,79,17
HB,1747,NURSE,Mocha,0,0,0,0,0,0,0,597,1753,519,0,0,0,0,0,0,78
HB,1748,PET,Jacob,0,0,0,0,373,0,64,163,1754,0,0,7,0,22,0,52,516
HB,1758,LATE,Maude,0,596,0,0,0,0,0,0,1764,41,0,8,10,6,0,205,326
HB,1770,LATE,Maude,0,0,4,0,0,0,32,551,1776,0,0,0,0,238,0,0,358
HB,1771,LATE,Mouse,0,0,0,0,0,0,0,598,1777,0,0,0,0,0,0,43,554
HB,1783,NURSE,Mocha,0,0,12,0,358,6,69,138,1789,0,0,38,0,324,0,144,91
HB,1784,LATE,Mouse,0,0,61,0,0,0,0,535,1790,0,0,6,0,242,0,79,269
HB,1794,EARLY,Mystery,0,0,0,0,0,0,79,517,1800,0,0,9,0,319,0,23,241
