SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO,SocialPlayCOMC,GroomCOMC,OtherAffCOMC,AggressionCOMC,NonIntCOMC,AbnormalCOMC,TravelCOMC,InactiveCOMC
0,0,0,0,462,0,0,134,0,139,103,0,85,0,88,136
0,0,0,6,571,0,20,0,0,0,243,0,0,0,193,129
0,0,0,0,0,0,0,597,0,0,0,0,14,0,13,569
0,0,0,0,0,0,26,572,0,0,214,0,246,0,52,81
0,0,0,23,412,0,0,162,0,19,234,0,0,0,35,312
0,0,0,0,0,0,0,594,0,0,0,0,241,0,63,294
0,0,0,0,0,0,0,597,0,0,0,0,227,45,0,300
0,0,0,0,314,0,19,148,0,0,0,0,0,510,41,48
0,497,0,0,0,0,0,98,0,0,0,0,508,0,76,7
0,0,0,0,227,0,0,370,0,593,0,0,0,0,0,0
0,0,10,0,552,0,7,25,0,0,0,0,4,0,39,529
0,108,0,0,0,450,7,33,0,0,0,0,316,0,20,262
0,0,0,0,281,0,20,48,28,0,0,0,4,46,32,487
0,0,11,5,564,0,0,18,0,0,137,0,57,0,118,285
0,0,0,0,163,0,0,436,0,0,0,0,352,206,0,40
0,0,55,13,41,0,122,366,0,0,41,6,385,0,143,22
0,0,2,0,471,0,85,15,0,0,0,14,114,0,143,305
0,0,8,41,524,0,7,15,0,0,8,21,206,0,93,268
0,0,34,9,451,0,51,52,0,9,25,21,205,0,88,249
0,0,27,0,174,22,24,345,0,0,0,0,402,0,28,165
0,0,0,0,76,0,4,515,0,0,0,0,345,0,153,97
