SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO,SocialPlayCOMC,GroomCOMC,OtherAffCOMC,AggressionCOMC,NonIntCOMC,AbnormalCOMC,TravelCOMC,InactiveCOMC
0,0,7,0,365,0,28,198,0,0,0,0,0,0,0,594
0,3,7,0,0,0,185,297,0,214,0,0,0,0,24,333
0,0,0,0,0,0,29,562,0,0,0,0,0,0,37,561
0,0,0,42,323,0,32,185,0,0,0,68,0,0,13,519
0,0,4,0,527,0,62,4,0,0,18,0,0,0,74,504
0,0,0,0,0,0,13,584,0,0,0,0,13,0,34,552
0,0,39,0,0,0,0,558,0,38,0,0,0,0,19,491
0,0,0,0,303,0,52,242,0,0,0,0,396,0,64,136
0,0,0,0,305,0,15,242,0,0,0,0,260,0,47,287
0,0,0,0,164,123,0,306,5,0,122,0,83,9,0,379
0,532,0,0,0,0,0,60,0,0,0,0,0,0,0,598
0,592,0,0,0,0,0,5,0,0,0,0,246,0,57,294
0,0,0,0,310,0,219,55,0,0,0,0,500,0,79,17
0,0,0,0,0,0,0,597,519,0,0,0,0,0,0,78
0,0,0,0,373,0,64,163,0,0,7,0,22,0,52,516
0,596,0,0,0,0,0,0,41,0,8,10,6,0,205,326
0,0,4,0,0,0,32,551,0,0,0,0,238,0,0,358
0,0,0,0,0,0,0,598,0,0,0,0,0,0,43,554
0,0,12,0,358,6,69,138,0,0,38,0,324,0,144,91
0,0,61,0,0,0,0,535,0,0,6,0,242,0,79,269
0,0,0,0,0,0,79,517,0,0,9,0,319,0,23,241
