Condition,Session,Life,Chimp,CAfCO,HAfCO,NASCO,OtherCO,AbCO,TrCO,InCO,Session2,CafCOMC,HafCOMC,NASCOMC,OtherCOMC,AbCOMC,TrCOMC,InCOMC
CBCO,1524,MOM,Magic,0,0,0,462,0,0,134,1530,242,0,0,85,0,88,136
CBCO,1525,PET,Susie,0,0,6,571,0,20,0,1531,200,43,0,0,0,193,129
CBCO,1592,NURSE,Selina,0,0,0,0,0,0,597,1597,0,0,0,14,0,13,569
CBCO,1649,NURSE,Mocha,0,0,0,0,0,26,572,1655,0,214,0,246,0,52,81
CBCO,1650,EARLY,Shauri,0,0,23,412,0,0,162,1656,19,234,0,0,0,35,312
CBCO,1661,NURSE,Selina,0,0,0,0,0,0,594,1667,0,0,0,241,0,63,294
CBCO,1662,LATE,Mouse,0,0,0,0,0,0,597,1668,0,0,0,227,45,0,300
CBCO,1672,MOM,Magic,0,0,0,314,0,19,148,1691,0,0,0,0,510,41,48
CBCO,1674,EARLY,Shauri,497,0,0,0,0,0,98,1693,0,0,0,508,0,76,7
CBCO,1710,EARLY,Shauri,0,0,0,227,0,0,370,1716,593,0,0,0,0,0,0
CBCO,1721,NURSE,Selina,0,10,0,552,0,7,25,1727,0,0,0,4,0,39,529
CBCO,1722,MOM,Magic,108,0,0,0,450,7,33,1728,0,0,0,316,0,20,262
CBCO,1733,NURSE,Mocha,0,0,0,281,0,20,48,1740,28,0,0,4,46,32,487
CBCO,1734,LATE,Maude,11,0,5,564,0,0,18,1741,0,137,0,57,0,118,285
CBCO,1746,EARLY,Mystery,0,0,0,163,0,0,436,1752,0,0,0,352,206,0,40
CBCO,1759,PET,Susie,0,55,13,41,0,122,366,1765,0,41,6,385,0,143,22
CBCO,1760,EARLY,Mystery,0,2,0,471,0,85,15,1766,0,0,14,114,0,143,305
CBCO,1772,PET,Jacob,0,8,41,524,0,7,15,1778,0,8,21,206,0,93,268
CBCO,1782,LATE,Maude,23,11,9,451,0,51,52,1788,9,25,21,205,0,88,249
CBCO,1795,LATE,Mouse,0,27,0,174,22,24,345,1801,0,0,0,402,0,28,165
CBCO,1796,PET,Jacob,0,0,0,76,0,4,515,1802,0,0,0,345,0,153,97
HBCO,1523,EARLY,Shauri,0,7,0,365,0,28,198,1529,0,0,0,0,0,0,594
HBCO,1546,MOM,Magic,10,0,0,0,0,185,297,1552,214,0,0,0,0,24,333
HBCO,1547,NURSE,Selina,0,0,0,0,0,29,562,1553,0,0,0,0,0,37,561
HBCO,1548,PET,Jacob,0,0,42,323,0,32,185,1554,0,0,68,0,0,13,519
HBCO,1648,PET,Susie,0,4,0,527,0,62,4,1654,0,18,0,0,0,74,504
HBCO,1660,EARLY,Mystery,0,0,0,0,0,13,584,1666,0,0,0,13,0,34,552
HBCO,1673,NURSE,Selina,0,39,0,0,0,0,558,1692,38,0,0,0,0,19,491
HBCO,1697,MOM,Magic,0,0,0,303,0,52,242,1703,0,0,0,396,0,64,136
HBCO,1698,EARLY,Shauri,0,0,0,305,0,15,242,1704,0,0,0,260,0,47,287
HBCO,1709,MOM,Magic,0,0,0,164,123,0,306,1715,0,127,0,83,9,0,379
HBCO,1711,NURSE,Selina,532,0,0,0,0,0,60,1717,0,0,0,0,0,0,598
HBCO,1723,EARLY,Shauri,592,0,0,0,0,0,5,1729,0,0,0,246,0,57,294
HBCO,1735,PET,Susie,0,0,0,310,0,219,55,1742,0,0,0,500,0,79,17
HBCO,1747,NURSE,Mocha,0,0,0,0,0,0,597,1753,519,0,0,0,0,0,78
HBCO,1748,PET,Jacob,0,0,0,373,0,64,163,1754,0,7,0,22,0,52,516
HBCO,1758,LATE,Maude,596,0,0,0,0,0,0,1764,41,8,10,6,0,205,326
HBCO,1770,LATE,Maude,0,4,0,0,0,32,551,1776,0,0,0,238,0,0,358
HBCO,1771,LATE,Mouse,0,0,0,0,0,0,598,1777,0,0,0,0,0,43,554
HBCO,1783,NURSE,Mocha,4,8,0,358,6,69,138,1789,31,7,0,324,0,144,91
HBCO,1784,LATE,Mouse,0,61,0,0,0,0,535,1790,6,0,0,242,0,79,269
HBCO,1794,EARLY,Mystery,0,0,0,0,0,79,517,1800,0,9,0,319,0,23,241
