Condition,Session,Life,Chimp,Latency
CB,1521,MOM,Magic,600
CB,1522,PET,Susie,4
CB,1588,NURSE,Selina,6
CB,1646,NURSE,Mocha,0
CB,1647,EARLY,Shauri,24
CB,1658,NURSE,Selina,6
CB,1659,LATE,Mouse,4
CB,1669,MOM,Magic,125
CB,1671,EARLY,Shauri,4
CB,1707,EARLY,Shauri,0
CB,1718,NURSE,Selina,0
CB,1719,MOM,Magic,0
CB,1730,NURSE,Mocha,17
CB,1731,LATE,Maude,5
CB,1743,EARLY,Mystery,600
CB,1756,PET,Susie,0
CB,1757,EARLY,Mystery,82
CB,1769,PET,Jacob,0
CB,1779,LATE,Maude,8
CB,1792,LATE,Mouse,63
CB,1793,PET,Jacob,20
HB,1520,EARLY,Shauri,14
HB,1543,MOM,Magic,600
HB,1544,NURSE,Selina,0
HB,1545,PET,Jacob,0
HB,1645,PET,Susie,0
HB,1657,EARLY,Mystery,0
HB,1670,NURSE,Selina,0
HB,1694,MOM,Magic,125
HB,1695,EARLY,Shauri,8
HB,1706,MOM,Magic,73
HB,1708,NURSE,Selina,0
HB,1720,EARLY,Shauri,284
HB,1732,PET,Susie,286
HB,1744,NURSE,Mocha,3
HB,1745,PET,Jacob,0
HB,1755,LATE,Maude,0
HB,1767,LATE,Maude,0
HB,1768,LATE,Mouse,0
HB,1780,NURSE,Mocha,14
HB,1781,LATE,Mouse,4
HB,1791,EARLY,Mystery,0
