Condition,Session2,Life,Chimp,CAfMC,HAfMC,NASMC,OtherMC,AbMC,TrMC,InMC,BOMC,Session2,CafCOMC,HafCOMC,NASCOMC,OtherCOMC,AbCOMC,TrCOMC,InCOMC,BOCOMC
CB,1527,MOM,Magic,222,0,0,263,0,38,35,37,1530,242,0,0,85,0,88,136,30
CB,1528,PET,Susie,0,65,0,74,0,21,430,0,1531,200,43,0,0,0,193,129,30
CB,1594,NURSE,Selina,14,0,0,0,0,0,582,0,1597,0,0,0,14,0,13,569,0
CB,1652,NURSE,Mocha,0,0,0,0,0,0,597,0,1655,0,214,0,246,0,52,81,0
CB,1653,EARLY,Shauri,0,0,0,0,0,0,597,0,1656,19,234,0,0,0,35,312,0
CB,1664,NURSE,Selina,0,82,0,0,0,4,367,144,1667,0,0,0,241,0,63,294,0
CB,1665,LATE,Mouse,0,0,0,0,483,0,112,0,1668,0,0,0,227,45,0,300,25
CB,1688,MOM,Magic,0,0,0,510,0,33,56,0,1691,0,0,0,0,510,41,48,0
CB,1690,EARLY,Shauri,0,0,0,0,0,6,592,0,1693,0,0,0,508,0,76,7,0
CB,1713,EARLY,Shauri,0,0,0,0,0,45,553,0,1716,593,0,0,0,0,0,0,0
CB,1724,NURSE,Selina,0,0,0,0,0,16,582,0,1727,0,0,0,4,0,39,529,0
CB,1725,MOM,Magic,0,0,0,67,60,0,472,0,1728,0,0,0,316,0,20,262,0
CB,1736,NURSE,Mocha,143,213,0,24,53,23,56,78,1740,28,0,0,4,46,32,487,0
CB,1737,LATE,Maude,0,0,0,16,0,17,564,0,1741,0,137,0,57,0,118,285,0
CB,1749,EARLY,Mystery,0,0,0,374,46,23,155,0,1752,0,0,0,352,206,0,40,0
CB,1762,PET,Susie,0,3,0,0,0,3,591,0,1765,0,41,6,385,0,143,22,0
CB,1763,EARLY,Mystery,0,0,0,0,0,0,597,0,1766,0,0,14,114,0,143,305,21
CB,1775,PET,Jacob,0,14,0,559,0,0,23,0,1778,0,8,21,206,0,93,268,0
CB,1785,LATE,Maude,0,0,0,0,0,0,596,0,1788,9,25,21,205,0,88,249,0
CB,1798,LATE,Mouse,0,0,0,593,0,0,0,0,1801,0,0,0,402,0,28,165,0
CB,1799,PET,Jacob,0,0,0,268,0,92,237,0,1802,0,0,0,345,0,153,97,0
HB,1526,EARLY,Shauri,14,0,0,209,0,90,280,0,1529,0,0,0,0,0,0,594,0
HB,1549,MOM,Magic,0,0,0,77,0,69,351,99,1552,214,0,0,0,0,24,333,17
HB,1550,NURSE,Selina,0,0,0,0,0,30,562,0,1553,0,0,0,0,0,37,561,0
HB,1551,PET,Jacob,0,0,213,0,0,52,317,0,1554,0,0,68,0,0,13,519,0
HB,1651,PET,Susie,0,14,0,0,0,128,430,27,1654,0,18,0,0,0,74,504,0
HB,1663,EARLY,Mystery,0,0,0,0,0,0,598,0,1666,0,0,0,13,0,34,552,0
HB,1689,NURSE,Selina,0,19,0,0,0,18,558,0,1692,38,0,0,0,0,19,491,48
HB,1700,MOM,Magic,0,0,0,0,0,0,597,0,1703,0,0,0,396,0,64,136,0
HB,1701,EARLY,Shauri,0,0,0,77,0,52,442,27,1704,0,0,0,260,0,47,287,0
HB,1712,MOM,Magic,0,0,0,133,25,0,440,0,1715,0,127,0,83,9,0,379,0
HB,1714,NURSE,Selina,0,75,0,0,0,38,484,0,1717,0,0,0,0,0,0,598,0
HB,1726,EARLY,Shauri,0,0,0,234,0,30,330,0,1729,0,0,0,246,0,57,294,0
HB,1739,PET,Susie,20,0,8,204,0,141,217,0,1742,0,0,0,500,0,79,17,0
HB,1750,NURSE,Mocha,59,5,0,61,0,130,262,79,1753,519,0,0,0,0,0,78,0
HB,1751,PET,Jacob,0,0,0,377,0,4,217,0,1754,0,7,0,22,0,52,516,0
HB,1761,LATE,Maude,0,0,0,0,0,0,597,0,1764,41,8,10,6,0,205,326,0
HB,1773,LATE,Maude,0,0,0,0,0,0,597,0,1776,0,0,0,238,0,0,358,0
HB,1774,LATE,Mouse,0,0,0,574,0,0,21,0,1777,0,0,0,0,0,43,554,0
HB,1786,NURSE,Mocha,25,0,0,0,5,51,517,0,1789,31,7,0,324,0,144,91,0
HB,1787,LATE,Mouse,0,0,0,0,46,0,552,0,1790,6,0,0,242,0,79,269,0
HB,1797,EARLY,Mystery,0,0,0,597,0,0,0,0,1800,0,9,0,319,0,23,241,0
