Condition,Session,Life,Chimp,SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,Session,SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO
CB,1647,EARLY,Shauri,0,503,64,0,0,0,0,33,1650,0,0,0,23,412,0,0,162
CB,1671,EARLY,Shauri,0,82,59,11,425,0,18,4,1674,0,497,0,0,0,0,0,98
CB,1707,EARLY,Shauri,0,437,101,0,55,0,0,0,1710,0,0,0,0,227,0,0,370
CB,1743,EARLY,Mystery,0,11,0,374,0,0,17,165,1746,0,0,0,0,163,0,0,436
CB,1757,EARLY,Mystery,0,15,127,244,0,0,73,103,1760,0,0,2,0,471,0,85,15
HB,1520,EARLY,Shauri,0,43,175,208,36,0,63,72,1523,0,0,7,0,365,0,28,198
HB,1657,EARLY,Mystery,0,332,64,80,0,11,80,34,1660,0,0,0,0,0,0,13,584
HB,1695,EARLY,Shauri,0,305,248,0,0,0,9,32,1698,0,0,0,0,305,0,15,242
HB,1720,EARLY,Shauri,0,349,73,15,0,0,38,119,1723,0,592,0,0,0,0,0,5
HB,1791,EARLY,Mystery,0,22,115,0,0,0,68,394,1794,0,0,0,0,0,0,79,517
