SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO
0,43,175,208,36,0,63,72,0,0,7,0,365,0,28,198
0,0,0,0,68,0,13,518,0,3,7,0,0,0,185,297
64,122,414,0,0,0,0,0,0,0,0,0,0,0,29,562
0,102,238,91,0,0,82,79,0,0,0,42,323,0,32,185
20,0,422,0,4,0,28,125,0,0,4,0,527,0,62,4
0,332,64,80,0,11,80,34,0,0,0,0,0,0,13,584
10,86,133,0,0,0,135,235,0,0,39,0,0,0,0,558
0,0,259,0,102,0,42,186,0,0,0,0,303,0,52,242
0,305,248,0,0,0,9,32,0,0,0,0,305,0,15,242
35,468,0,0,0,0,0,93,0,0,0,0,164,123,0,306
63,236,300,0,0,0,0,0,0,532,0,0,0,0,0,60
0,349,73,15,0,0,38,119,0,592,0,0,0,0,0,5
0,7,61,49,307,0,124,37,0,0,0,0,310,0,219,55
142,281,149,6,0,0,0,19,0,0,0,0,0,0,0,597
70,443,87,0,0,0,0,0,0,0,0,0,373,0,64,163
105,0,232,0,263,0,0,0,0,596,0,0,0,0,0,0
293,61,62,0,0,0,31,146,0,0,4,0,0,0,32,551
197,0,181,48,17,0,59,79,0,0,0,0,0,0,0,598
375,80,60,0,0,0,26,52,0,0,12,0,358,6,69,138
391,0,95,0,0,0,57,55,0,0,61,0,0,0,0,535
0,22,115,0,0,0,68,394,0,0,0,0,0,0,79,517
