Condition,Session,Life,Chimp,SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,Session,SocialPlayMC,GroomMC,OtherAffMC,AggressionMC,NonIntMC,AbnormalMC,TravelMC,InactiveMC
CB,1647,EARLY,Shauri,0,503,64,0,0,0,0,33,1653,0,0,0,0,0,0,0,597
CB,1671,EARLY,Shauri,0,82,59,11,425,0,18,4,1690,0,0,0,0,0,0,6,592
CB,1707,EARLY,Shauri,0,437,101,0,55,0,0,0,1713,0,0,0,0,0,0,45,553
CB,1743,EARLY,Mystery,0,11,0,374,0,0,17,165,1749,0,0,0,0,374,46,23,155
CB,1757,EARLY,Mystery,0,15,127,244,0,0,73,103,1763,0,0,0,0,0,0,0,597
HB,1520,EARLY,Shauri,0,43,175,208,36,0,63,72,1526,0,0,14,0,209,0,90,280
HB,1657,EARLY,Mystery,0,332,64,80,0,11,80,34,1663,0,0,0,0,0,0,0,598
HB,1695,EARLY,Shauri,0,305,248,0,0,0,9,32,1701,0,0,0,0,77,0,52,442
HB,1720,EARLY,Shauri,0,349,73,15,0,0,38,119,1726,0,0,0,0,234,0,30,330
HB,1791,EARLY,Mystery,0,22,115,0,0,0,68,394,1797,0,0,0,0,597,0,0,0
