SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,SocialPlayMC,GroomMC,OtherAffMC,AggressionMC,NonIntMC,AbnormalMC,TravelMC,InactiveMC
0,43,175,208,36,0,63,72,0,0,14,0,209,0,90,280
0,0,0,0,68,0,13,518,0,0,0,0,77,0,69,351
64,122,414,0,0,0,0,0,0,0,0,0,0,0,30,562
0,102,238,91,0,0,82,79,0,0,0,213,0,0,52,317
20,0,422,0,4,0,28,125,0,0,14,0,0,0,128,430
0,332,64,80,0,11,80,34,0,0,0,0,0,0,0,598
10,86,133,0,0,0,135,235,0,0,19,0,0,0,18,558
0,0,259,0,102,0,42,186,0,0,0,0,0,0,0,597
0,305,248,0,0,0,9,32,0,0,0,0,77,0,52,442
35,468,0,0,0,0,0,93,0,0,0,0,133,25,0,440
63,236,300,0,0,0,0,0,0,0,75,0,0,0,38,484
0,349,73,15,0,0,38,119,0,0,0,0,234,0,30,330
0,7,61,49,307,0,124,37,0,20,0,8,204,0,141,217
142,281,149,6,0,0,0,19,0,54,10,0,61,0,130,262
70,443,87,0,0,0,0,0,0,0,0,0,377,0,4,217
105,0,232,0,263,0,0,0,0,0,0,0,0,0,0,597
293,61,62,0,0,0,31,146,0,0,0,0,0,0,0,597
197,0,181,48,17,0,59,79,0,0,0,0,574,0,0,21
375,80,60,0,0,0,26,52,0,17,7,0,0,5,51,517
391,0,95,0,0,0,57,55,0,0,0,0,0,46,0,552
0,22,115,0,0,0,68,394,0,0,0,0,597,0,0,0
